model,channel,MSE,RMSE,MAE
lstm,ch0,0.09377151,0.30622134,0.13339525
lstm,ch1,0.64278245,0.8017371,0.2955183
lstm,ch2,0.28597465,0.53476596,0.21786857
lstm,ch3,0.8322499,0.9122773,0.28208214
lstm,ch4,0.7032151,0.83857924,0.43613243
lstm,ch5,0.9631374,0.98139566,0.16156967
lstm,ch6,0.86973673,0.93259674,0.27478334
lstm,ch7,1.0328847,1.0163094,0.14280955
stgcn,ch0,0.23091424,0.48053536,0.2583466
stgcn,ch1,0.7037706,0.83891034,0.31965774
stgcn,ch2,0.3947583,0.6282979,0.28091598
stgcn,ch3,0.8677792,0.9315467,0.2887748
stgcn,ch4,0.7724227,0.8788758,0.50924957
stgcn,ch5,0.9760529,0.9879539,0.17927586
stgcn,ch6,0.89177334,0.9443375,0.29870215
stgcn,ch7,1.0428162,1.0211837,0.1605073
resstgcn,ch0,0.12945533,0.359799,0.16994981
resstgcn,ch1,0.6081904,0.7798656,0.2918731
resstgcn,ch2,0.28207886,0.53111094,0.22151253
resstgcn,ch3,0.80340403,0.8963281,0.28805637
resstgcn,ch4,0.66506445,0.81551486,0.44623435
resstgcn,ch5,0.87189925,0.93375546,0.1634507
resstgcn,ch6,0.8232645,0.9073392,0.26919517
resstgcn,ch7,0.9618359,0.9807323,0.14860024
