date,field,channel,min,max,mean,std,median,q1,q3,nonzero_count,zero_count
20220810,input_tensor,0,0.0,325.0,3.9074995517730713,10.684426307678223,0.0,0.0,3.0,132219,262341
20220810,input_tensor,1,0.0,23.0,0.18574108183383942,0.6656008958816528,0.0,0.0,0.0,44244,350316
20220810,input_tensor,2,0.0,143.0,0.6576845049858093,2.1812684535980225,0.0,0.0,0.0,84733,309827
20220810,input_tensor,3,0.0,22.0,0.13389091193675995,0.5559409856796265,0.0,0.0,0.0,32907,361653
20220810,input_tensor,4,0.0,24.699180603027344,1.9089893102645874,4.651691436767578,0.0,0.0,0.0,72700,321860
20220810,input_tensor,5,0.0,19.438030242919922,0.14379893243312836,1.337106704711914,0.0,0.0,0.0,6552,388008
20220810,input_tensor,6,0.0,22.261699676513672,0.46842890977859497,2.3925626277923584,0.0,0.0,0.0,20496,374064
20220810,input_tensor,7,0.0,21.569217681884766,0.12429937720298767,1.2781016826629639,0.0,0.0,0.0,5182,389378
20220810,normalized_tensor,0,-0.36571916937828064,30.052385330200195,-1.1601877097922042e-10,1.0,-0.36571916937828064,-0.36571916937828064,-0.08493666350841522,394560,0
20220810,normalized_tensor,1,-0.27905774116516113,34.27618408203125,1.5275805065328996e-09,1.0,-0.27905774116516113,-0.27905774116516113,-0.27905774116516113,394560,0
20220810,normalized_tensor,2,-0.30151471495628357,65.25666809082031,1.3303486312565838e-08,0.9999998807907104,-0.30151471495628357,-0.30151471495628357,-0.30151471495628357,394560,0
20220810,normalized_tensor,3,-0.24083656072616577,39.33171081542969,-1.9684518903773096e-08,0.9999999403953552,-0.24083656072616577,-0.24083656072616577,-0.24083656072616577,394560,0
20220810,normalized_tensor,4,-0.4103860557079315,4.89933443069458,9.281501678337634e-10,1.0000001192092896,-0.4103860557079315,-0.4103860557079315,-0.4103860557079315,394560,0
20220810,normalized_tensor,5,-0.10754484683275223,14.42983627319336,-4.056789748574374e-08,0.9999999403953552,-0.10754484683275223,-0.10754484683275223,-0.10754484683275223,394560,0
20220810,normalized_tensor,6,-0.19578543305397034,9.108756065368652,-6.032976340719642e-09,0.9999998807907104,-0.19578543305397034,-0.19578543305397034,-0.19578543305397034,394560,0
20220810,normalized_tensor,7,-0.09725312143564224,16.77872657775879,1.3052112279865469e-08,0.9999999403953552,-0.09725312143564224,-0.09725312143564224,-0.09725312143564224,394560,0
20220811,input_tensor,0,0.0,312.0,4.044991970062256,10.912383079528809,0.0,0.0,3.0,135658,258902
20220811,input_tensor,1,0.0,20.0,0.19658860564231873,0.6913602948188782,0.0,0.0,0.0,46180,348380
20220811,input_tensor,2,0.0,157.0,0.6321269273757935,2.079441547393799,0.0,0.0,0.0,84914,309646
20220811,input_tensor,3,0.0,22.0,0.14092913269996643,0.5705335140228271,0.0,0.0,0.0,34677,359883
20220811,input_tensor,4,0.0,25.198144912719727,2.0171959400177,4.764132499694824,0.0,0.0,0.0,76532,318028
20220811,input_tensor,5,0.0,19.439512252807617,0.15460920333862305,1.3975393772125244,0.0,0.0,0.0,6938,387622
20220811,input_tensor,6,0.0,22.453086853027344,0.4657413065433502,2.3903298377990723,0.0,0.0,0.0,20239,374321
20220811,input_tensor,7,0.0,22.607206344604492,0.13783429563045502,1.3480567932128906,0.0,0.0,0.0,5731,388829
20220811,normalized_tensor,0,-0.3706790804862976,28.220693588256836,-2.3938540039125655e-08,0.9999998807907104,-0.3706790804862976,-0.3706790804862976,-0.09576202929019928,394560,0
20220811,normalized_tensor,1,-0.2843504548072815,28.644126892089844,1.9839209386418588e-08,1.0,-0.2843504548072815,-0.2843504548072815,-0.2843504548072815,394560,0
20220811,normalized_tensor,2,-0.3039887845516205,75.19705200195312,1.775087277167131e-08,1.0,-0.3039887845516205,-0.3039887845516205,-0.3039887845516205,394560,0
20220811,normalized_tensor,3,-0.2470128983259201,38.31338882446289,1.320680365068938e-08,1.0,-0.2470128983259201,-0.2470128983259201,-0.2470128983259201,394560,0
20220811,normalized_tensor,4,-0.42341306805610657,4.86572265625,-2.3203754195844084e-10,0.9999998807907104,-0.42341306805610657,-0.42341306805610657,-0.42341306805610657,394560,0
20220811,normalized_tensor,5,-0.11062958836555481,13.79918384552002,-1.5836562283766398e-08,1.0000001192092896,-0.11062958836555481,-0.11062958836555481,-0.11062958836555481,394560,0
20220811,normalized_tensor,6,-0.19484394788742065,9.198456764221191,2.5524129476650614e-09,1.0,-0.19484394788742065,-0.19484394788742065,-0.19484394788742065,394560,0
20220811,normalized_tensor,7,-0.10224665701389313,16.667970657348633,8.430697917560792e-09,0.9999998807907104,-0.10224665701389313,-0.10224665701389313,-0.10224665701389313,394560,0
20220812,input_tensor,0,0.0,328.0,4.211812973022461,11.077138900756836,0.0,0.0,3.0,138963,255597
20220812,input_tensor,1,0.0,18.0,0.18705140054225922,0.664305567741394,0.0,0.0,0.0,44696,349864
20220812,input_tensor,2,0.0,176.0,0.7290678024291992,2.382742166519165,0.0,0.0,0.0,89437,305123
20220812,input_tensor,3,0.0,27.0,0.14776712656021118,0.5806370973587036,0.0,0.0,0.0,36681,357879
20220812,input_tensor,4,0.0,25.549598693847656,2.0418572425842285,4.787298202514648,0.0,0.0,0.0,77973,316587
20220812,input_tensor,5,0.0,19.437204360961914,0.14222800731658936,1.331864356994629,0.0,0.0,0.0,6627,387933
20220812,input_tensor,6,0.0,22.052352905273438,0.4569524824619293,2.3592917919158936,0.0,0.0,0.0,20705,373855
20220812,input_tensor,7,0.0,22.500450134277344,0.14629589021205902,1.384357213973999,0.0,0.0,0.0,6131,388429
20220812,normalized_tensor,0,-0.3802257180213928,29.230308532714844,1.5817226639569526e-08,1.0,-0.3802257180213928,-0.3802257180213928,-0.10939764976501465,394560,0
