model,channel,MSE,RMSE,MAE
lstm,ch0,0.093043506,0.30503035,0.1317643
lstm,ch1,0.6420506,0.8012806,0.29054588
lstm,ch2,0.2812144,0.5302965,0.21268654
lstm,ch3,0.8351123,0.91384476,0.2960663
lstm,ch4,0.702979,0.83843845,0.42481846
lstm,ch5,0.9633803,0.9815194,0.15943284
lstm,ch6,0.86906666,0.93223745,0.26969582
lstm,ch7,1.0347446,1.017224,0.15096998
stgcn,ch0,0.22011815,0.4691675,0.25935993
stgcn,ch1,0.6966474,0.8346541,0.3264511
stgcn,ch2,0.38342893,0.6192164,0.2763995
stgcn,ch3,0.86096376,0.9278813,0.28917506
stgcn,ch4,0.76576966,0.8750827,0.49633986
stgcn,ch5,0.9738746,0.98685086,0.17701
stgcn,ch6,0.8882562,0.9424735,0.28669506
stgcn,ch7,1.0386584,1.019146,0.14831036
resstgcn,ch0,0.12085079,0.34763598,0.17026551
resstgcn,ch1,0.6020566,0.7759231,0.29520467
resstgcn,ch2,0.2663466,0.5160878,0.22522646
resstgcn,ch3,0.8014832,0.8952559,0.28823233
resstgcn,ch4,0.6637607,0.8147151,0.44768643
resstgcn,ch5,0.8581561,0.92636716,0.16246465
resstgcn,ch6,0.81391954,0.9021749,0.271205
resstgcn,ch7,0.9504387,0.9749044,0.14929841
