tl_id,linkIndex,fromLane,toLane
204820,11,477706392_02,477706392_01
204822,18,477706439_02,477704547_01
204822,19,477706439_02,477714888_01
204822,20,477706439_02,477714888_01
204822,21,477706439_02,477714888_01
204822,22,477706439_02,477714888_01
204822,23,477706439_02,477714888_01
204822,24,477706439_02,477707011_02
204822,25,477706439_02,477706439_01
204820,12,477706883_01,477706392_01
204820,13,477706883_01,477706911_02_02
204820,14,477706883_01,477706911_02_02
204820,15,477706883_01,477707013_01
204820,0,477706911_01,477707013_01
204820,1,477706911_01,477706883_02
204820,2,477706911_01,477706883_02
204820,3,477706911_01,477706392_01
204822,0,477707011_01,477706439_01
204822,1,477707011_01,477704547_01
204822,2,477707011_01,477704547_01
204822,3,477707011_01,477714888_01
204820,16,477707013_02,477706883_02
204820,17,477707013_02,477706392_01
204820,18,477707013_02,477706392_01
204820,19,477707013_02,477706392_01
204820,20,477707013_02,477706392_01
204820,21,477707013_02,477706392_01
204820,22,477707013_02,477706911_02_02
204820,23,477707013_02,477707013_01
204822,4,477714888_02,477707011_02
204822,5,477714888_02,477706439_01
204822,6,477714888_02,477706439_01
204822,7,477714888_02,477706439_01
204822,8,477714888_02,477706439_01
204822,9,477714888_02,477706439_01
204822,10,477714888_02,477706439_01
204822,11,477714888_02,477704547_01
204822,12,477714888_02,477714888_01
204920,0,477744474_02,477755532_01_01
204920,1,477744474_02,477605406_01
204920,2,477744474_02,477605406_01
204920,3,477744474_02,477605406_01
204920,4,477744474_02,477605406_01
204920,5,477744474_02,477605406_01
204920,6,477744474_02,477605406_01
204920,7,477744474_02,477656848_01
204920,8,477744474_02,477744474_01
cluster_204796_205202,12,477753313_02,477748652_01
cluster_204796_205202,13,477753313_02,477757554_01
cluster_204796_205202,14,477753313_02,477757554_01
cluster_204796_205202,15,477753313_02,477757554_01
cluster_204796_205202,16,477753313_02,477757554_01
cluster_204796_205202,17,477753313_02,477748640_01
cluster_204796_205202,18,477753313_02,477748640_01
cluster_204796_205202,19,477753313_02,477753313_01
204920,22,477755532_01_02,477605406_01
204920,23,477755532_01_02,477656848_01
204920,24,477755532_01_02,477656848_01
204920,25,477755532_01_02,477744474_01
204920,26,477755532_01_02,477744474_01
cluster_204796_205202,0,477757554_02,477748640_01
cluster_204796_205202,1,477757554_02,477753313_01
cluster_204796_205202,2,477757554_02,477753313_01
cluster_204796_205202,3,477757554_02,477753313_01
cluster_204796_205202,4,477757554_02,477753313_01
cluster_204796_205202,5,477757554_02,477748652_01
cluster_204796_205202,6,477757554_02,477748652_01
cluster_204796_205202,7,477757554_02,477757554_01
cluster_204796_205202,8,477765074_01,477748640_01
cluster_204796_205202,9,477765074_01,477748640_01
cluster_204796_205202,10,477765074_01,477753313_01
cluster_204796_205202,11,477765074_01,477753313_01
cluster_204796_205202,20,477765078_01,477748652_01
cluster_204796_205202,21,477765078_01,477748652_01
cluster_204796_205202,22,477765078_01,477748652_01
cluster_204796_205202,23,477765078_01,477757554_01
