tl_id,phase_seq,char_idx,signal_char,lane_id,from_edge,to_edge
201292,5,15,g,:201292_15_0,477649508_01_02,477604732_02
201292,6,0,r,:201292_0_0,477604732_01,477649508_01_01
201292,6,1,r,:201292_1_0,477604732_01,477604827_010101_01
201292,6,2,r,:201292_1_1,477604732_01,477604827_010101_01
201292,6,3,r,:201292_3_0,477604732_01,477604248_0202_02
201292,6,4,r,:201292_4_0,477604248_0202_01,477604732_02
201292,6,5,r,:201292_5_0,477604248_0202_01,477649508_01_01
201292,6,6,r,:201292_5_1,477604248_0202_01,477649508_01_01
201292,6,7,G,:201292_7_0,477604248_0202_01,477604827_010101_01
201292,6,8,r,:201292_8_0,477604827_010101_02,477604248_0202_02
201292,6,9,r,:201292_9_0,477604827_010101_02,477604732_02
201292,6,10,r,:201292_9_1,477604827_010101_02,477604732_02
201292,6,11,r,:201292_11_0,477604827_010101_02,477649508_01_01
201292,6,12,r,:201292_12_0,477649508_01_02,477604827_010101_01
201292,6,13,r,:201292_13_0,477649508_01_02,477604248_0202_02
201292,6,14,r,:201292_13_1,477649508_01_02,477604248_0202_02
201292,6,15,G,:201292_15_0,477649508_01_02,477604732_02
201292,7,0,r,:201292_0_0,477604732_01,477649508_01_01
201292,7,1,r,:201292_1_0,477604732_01,477604827_010101_01
201292,7,2,r,:201292_1_1,477604732_01,477604827_010101_01
201292,7,3,r,:201292_3_0,477604732_01,477604248_0202_02
201292,7,4,r,:201292_4_0,477604248_0202_01,477604732_02
201292,7,5,r,:201292_5_0,477604248_0202_01,477649508_01_01
201292,7,6,r,:201292_5_1,477604248_0202_01,477649508_01_01
201292,7,7,y,:201292_7_0,477604248_0202_01,477604827_010101_01
201292,7,8,r,:201292_8_0,477604827_010101_02,477604248_0202_02
201292,7,9,r,:201292_9_0,477604827_010101_02,477604732_02
201292,7,10,r,:201292_9_1,477604827_010101_02,477604732_02
201292,7,11,r,:201292_11_0,477604827_010101_02,477649508_01_01
201292,7,12,r,:201292_12_0,477649508_01_02,477604827_010101_01
201292,7,13,r,:201292_13_0,477649508_01_02,477604248_0202_02
201292,7,14,r,:201292_13_1,477649508_01_02,477604248_0202_02
